Month,max_temp,min_temp,daily_rain,sunshine_hours,humidity
 2007 Aug ,30.9,25,55.9,5.7,82.9
 2007 Sep ,31,25,52.1,5.8,83.3
 2007 Oct ,31.6,24.9,51.8,5.6,83.2
 2007 Nov ,30.8,24,60.1,3.5,86.5
 2007 Dec ,30.1,24.1,159,4.5,86.8
 2008 Jan ,30.7,24.3,123.1,6.1,86
 2008 Feb ,30.9,24,48.5,5.5,82.9
 2008 Mar ,30.1,24,48.1,4.3,87.1
 2008 Apr ,31.9,25.1,34.2,6,82
 2008 May ,32.2,26,42.3,6.6,79.1
 2008 Jun ,31.4,25.3,45.2,5.6,81.5
 2008 Jul ,30.8,25.1,23.5,4.9,81.3
 2008 Aug ,30.9,24.7,133.9,5.5,83.8
 2008 Sep ,31.1,24.6,43.5,5.1,82.7
 2008 Oct ,31.4,25,41.6,4.5,84.9
 2008 Nov ,31.2,24.5,63.3,4,85.9
 2008 Dec ,30.4,24.3,52,4.7,83.7
 2009 Jan ,30.7,24.2,36,6.6,79.1
 2009 Feb ,32.3,24.3,74.2,6.5,80.7
 2009 Mar ,31.4,24.1,56.3,5.5,85.4
 2009 Apr ,32.3,25.4,86.6,6.2,82.2
 2009 May ,32.2,25.3,41.3,6.6,83
 2009 Jun ,32.6,26.2,5.8,6.7,79.8
 2009 Jul ,31.7,25.3,24.4,6.2,80.8
 2009 Aug ,31.7,25.6,35.5,6.5,80.7
 2009 Sep ,31.7,25.5,63,5.6,82
 2009 Oct ,32.1,25.2,38.4,5.4,82.8
 2009 Nov ,31.5,24.8,61.4,4.7,85.6
 2009 Dec ,30.7,24.6,42.6,4.8,86.3
 2010 Jan ,31.2,24.4,24.5,7.1,82.1
 2010 Feb ,33.5,25.5,2.9,8.8,77.3
 2010 Mar ,33.1,25.1,57.6,6.1,79.9
 2010 Apr ,32.8,25,40,6.2,84.1
 2010 May ,33.2,25.9,90.5,6.5,82.2
 2010 Jun ,31.4,25.2,43,5.1,83.9
 2010 Jul ,30.9,24.6,121.1,4.6,84.8
 2010 Aug ,31.2,24.6,60.2,5.4,84.2
 2010 Sep ,31.8,24.9,28,5.7,82.5
 2010 Oct ,31.7,25.1,58.1,4.2,82.3
 2010 Nov ,31.6,24.2,41.6,5,85.9
 2010 Dec ,30.8,23.9,85.8,3.6,85.3
 2011 Jan ,29.7,23.5,216.2,4.5,85.8
 2011 Feb ,31.7,24.1,17.4,7.5,81.1
 2011 Mar ,31.3,23.9,54,4.6,85.5
 2011 Apr ,31.9,24.6,61.8,7.2,83.9
 2011 May ,32.4,25.2,34.2,5.9,85.3
 2011 Jun ,31.3,25.2,82,5,83.7
 2011 Jul ,31.9,25.5,30,7.8,81.3
 2011 Aug ,31,25.6,30.2,6.1,82.6
 2011 Sep ,30.9,25.1,40.4,5.1,82.7
 2011 Oct ,31.9,24.1,54,5.3,87.4
 2011 Nov ,31.1,24.6,78.6,4.7,87.8
 2011 Dec ,29.9,24.5,87.4,3.3,88.4
 2012 Jan ,30.6,24.3,26.2,6,87.3
 2012 Feb ,31.1,24.8,38.4,7,85.6
 2012 Mar ,31.1,24.4,92.3,4.2,87.3
 2012 Apr ,31.4,24.8,48.4,5.8,85.1
 2012 May ,31.7,24.8,79.2,5.6,83.1
 2012 Jun ,31.6,26.3,38.2,6,79
 2012 Jul ,30.8,25.3,35.4,6.2,81.1
 2012 Aug ,31,25.4,31,6.1,79.8
 2012 Sep ,31.3,25.3,35.8,5.6,79.7
 2012 Oct ,31.7,25.2,22.6,5.9,81.3
 2012 Nov ,31.4,24.7,49.2,4.4,85.4
 2012 Dec ,30.6,24.4,78.8,3.6,87
 2013 Jan ,30.8,24.6,73,6,82.1
 2013 Feb ,30.1,24.3,95.2,4,86.9
 2013 Mar ,32.4,25.6,29.6,7.5,80.4
 2013 Apr ,32.1,25.3,41.6,5.2,82.7
 2013 May ,31.8,25.6,46.2,5.4,83.1
 2013 Jun ,32.6,25.9,22.4,6.4,74.6
 2013 Jul ,31.1,25.2,37.4,5.7,79.9
 2013 Aug ,31,25.1,43.2,6.1,79
 2013 Sep ,30.6,24.8,52.6,4.6,81.3
 2013 Oct ,31.4,24.6,139.8,6.3,79.9
 2013 Nov ,31.3,24.5,44,4.5,84.6
 2013 Dec ,30.2,24.1,119.8,3.5,85.8
 2014 Jan ,29.6,24,31.2,5.3,78.5
 2014 Feb ,31.9,24.5,0.2,8.8,74.5
 2014 Mar ,32.8,25.1,52.6,8,76
 2014 Apr ,32.4,25.5,28.8,5.7,80
 2014 May ,32.1,25.8,22.4,5.8,80.2
 2014 Jun ,32.1,26.3,18.8,6,77.5
 2014 Jul ,31.6,25.8,29,5.5,78.3
 2014 Aug ,30.4,25.2,44.2,4.5,79.7
 2014 Sep ,31.8,25.7,34.6,7,75.6
 2014 Oct ,32.1,25.7,32.8,6,77
 2014 Nov ,31.6,24.8,64.4,5.4,82.4
 2014 Dec ,30.6,24.7,48.2,3.7,82.6
 2015 Jan ,30.7,24.6,33.6,7.4,77.6
 2015 Feb ,31.3,24.4,10.8,7.3,75.4
 2015 Mar ,32.5,25.5,46,7.3,75.8
 2015 Apr ,33.2,25.9,18.8,7.2,77.1
 2015 May ,32.2,26.4,22.2,5.8,78.9
 2015 Jun ,32,26.6,28.4,6.7,75.8
 2015 Jul ,31.9,26.7,45.8,7.1,74.9
 2015 Aug ,31.2,26,63.2,6.1,76.7
 2015 Sep ,31.7,26.5,18.4,4.3,75
